What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
" I want to see a brand new council without the self-seeking, out of touch Councillors who seem to be running it at the moment! Roads are a shambles particularly in Cranbourne, where obviously no one of importance lives and they took away the duck pond to replace with some ugly brick monstrosity!! They have allowed massive building of new homes with little improvement to the roads, particularly the Narre Warren Cranbourne Rd. which has become a dreadful bottle neck between Thompson's Rd and Cameron Street. Disgraceful!",Widening of roads,Improved,connected,empathic,,,cranbourne ,3977,balla balla,59-68,Female
"Casey should be a less conjested with easy access to transport, a safe place and a place that will support youth with opportunities in the future.",Better Roads & bus service.,Safe,Jobs,accessible,,,berwick,3806,edrington,39-48,Female
It should be same as what Melbourne is now at 2016- the most livable city in the world.,"Infrastructure, Libraries in every suburb (ie Lynbrook), More swimming pools, Tennis courts and bike/walking tracks ",Sustainable,livable,neighbourhood,,,lynbrook,3975,river gum,39-48,Male
"I want it to be the next Movie World, but betterer! ",The Taxes,,,,,,unknown,,unknown,59-68,Male
a nice modern suburb,faster traffic near sladen st,vibrant,multicultural,innovative,,,cranbourne ,3977,balla balla,0-18,Male
disneyland or a theme park like disneyland,Faster roadworks finished in cranbourne.,unclean,messy,,,,unknown,,unknown,68+,Other
blown up,the taxes,,,,,,unknown,,unknown,68+,Other
I would like to see that my children & grandchildren are given a fair go by the council,Control the rates rises,youth,,,,,hallam,3803,river gum,59-68,Male
This has already been determined by over development,Overdevelopment,less-development,,,,,berwick,3806,edrington,39-48,Male
Safe,Roads,animals,,,,,endeavour hills,3802,four oaks,39-48,Male
"A safe city with walking tracks, playgrounds for my grandchildren to play in, decent schools and substantial shopping centres, activities for teenagers to keep them busy and not too overcrowded roads ",less traffic congestion along the Monash during peak periods OR better safer public transport,Vibrant,busy,Entertainment,,,berwick,3806,edrington,49-58,Female
"Safe, family friendly and productive. A place that's easy to get around, free of congestion. A place that has facilities for families and also couples to enjoy their time together; restaurants, bars and a dynamic social scene.",To develop the social scene by supporting small businesses specialising in high end hospitality.,Safe,Culture,Healthy,,,narre warren,3805,springfield,19-28,Female
"A safe community where diversity is embraced and where my family and I have access to high quality services, facilities, education and jobs to suit our lifestyle needs","Community safety, including perceptions of community safety brought about by fear of particular sectors within the community (e.g. Particular cultures, youth)",Safe,well-equipped,accessible,,,berwick,3806,edrington,29-38,Female
Family friendly and inclusive.,Crime,Family-oriented,Parks,Community,,,lynbrook,3975,river gum,49-58,Male
Endeavour Hills,have more greenarea lakes and parks and community areas where kids can have fun with family time,clean,green,futuristic,,,endeavour hills,3802,four oaks,39-48,Male
a place of inclusion for all ability levels to interact in social  settings and to be able to participate in joint art processes.,More interesting interactive and static art displays,inspirational,interactive,inclusive,,,berwick,3806,edrington,49-58,Female
More jobs across various skills and trades so that people don't have to travel to Melbourne CBD. May be have another CBD in Casey,Better public transport ,City,,,,,berwick,3806,edrington,29-38,Male
A safe family community,Security police presence ,Family,activities,shopping,,,narre warren south,3804,springfield,39-48,Female
"A city where a fair distribution of facilities has occurred...not top heavy in the more affluent areas, run by an open and transparent council, who can make the hard decisions in order to get the best value for money for its communities.  ",Bundgel Place....I would tone it down to save some money and put those monies to better us for all of its communities.  A building can be totally serviceable without having expensive eyecatchers.  Instead offer the opportunity for local artists to have their works on show for a period of time with a plaque with for sale on it.  Let the artists be seen with an opportunity to get some work or sales.  It would cut costs and help the artists!,"Inclusive,  open, well-maintained",,,,,pearcedale,3912,balla balla,49-58,Female
"A dump free environment for pride of place and far better transport and livability facilities.  Upgrades to Cranbourne and Merinda park stations, carparks and surrounding amenities.  Currently feels like living in a third world country with all the rubbish along the tracks and surrounding areas.  More affordable tips charges might do it!",Provide access through Evans road to South Gippsland Highway. ,Pride,of,Place,,,cranbourne west,3977,mayfield,39-48,Female
A safe place to live and work  with diversity of culture and access to a range of  appropriate services for all ages,"Get rid of graffiti quickly, maybe set up a patrol on Mondays to automatically visit known or popular tag sites",Safe,clean,diverse,,,cranbourne ,3977,balla balla,59-68,Female
Free children's activities. Indoor playground for free,Footpaths and roads. Roads all need repairing pot holes and footpaths need to be even and free from over growing vegetation,Fresh,Free,Easy,,,cranbourne north,,mayfield,19-28,Female
"Connected, safe, kids friendly, modern, quiet",Duplicate Cranbourne train line. More frequent express trains to the city.,Connected,quiet,active,,,cranbourne east,3977,mayfield,29-38,Male
"I would like to see Casey as a place that is safe, inclusive of all with infrastructure to support all community activities.  A structured road plan that would allow for people to move around in the quickest, safest way.  I would love to see all major roads have a designated bike path so the both workers and families could use cycling as a preferred option for transport and well as building health outcomes.",Better road and transport systems.  Road systems to include a designated cycle path.  Train system that was extended to Cranbourne East to reduce the amount of cars on the road to get to other railway stations.,community,Happy,Healthy,,,,3977,balla balla,49-58,Female
"An integrated community, well-served by public transport , regular maintenance of unsealed roads, more green spaces rather than housing, keeping farming areas rather than housing.",Infrastructure ,Caring,fair,nature,,,clyde,3978,balla balla,59-68,Female
Good living area with improved public transportations,Public Transport System,Relax,Lifestyle,Convenient,,,cranbourne north,,mayfield,29-38,Male
Great living area,Public transport system,Lifestyle,Relax,Convenient,,,cranbourne north,,mayfield,29-38,Male
I would like it to be a pleasant place to live,reduce crime,less,pleasant,place,,,berwick,3806,edrington,68+,Male
"Definitely do not want it to be a heavily built up suburb. Would love it to still retain a country feel & life style. Being the number 1 place for families. A safe and secure place. Plenty of space. Too many suburbs are built up that there is no country/land left. Would love to see Casey still keep Casey with a country feel about it. It's always warm and inviting. Would love to see Casey stand out and be completely different from any other place in Melbourne. Building it up will only make it the same as other suburbs. People already envy those who live and work in Casey due to how beautifully spacious, family friendly it is with that country feel to it still. Hope Casey can still maintain that for many years to come. ","Definitely don't want it to be a busy built up suburb. Would love to see plenty of space, still having a country living feel to it. And being the number 1 place to live and have a family in. ",Country-style,Family-oriented,Safe,,,clyde north,,edrington,29-38,Female
A family orientated community with plenty of parks still around. One that people would be honoured to call home.,"No more housing development,we dont need the sardine look ",Family,bright,Livable,,,narre warren south,3804,springfield,39-48,Female
"Safe
Community minded
Collaborative
Engaged in each other",Hoon drivers in Narre warren south,Safe,Community,leader,,,narre warren south,3804,springfield,29-38,Female
"The best Council to live in Victoria. With safety, plenty of local jobs and a reliable transport network.","I would create more office jobs, not only retail ones.",Safe,Growing,Better,,,cranbourne east,3977,mayfield,39-48,Male
A vibrant place,More interesting events for youth,multicultural,inclusive,modern,,,narre warren,3805,springfield,39-48,Female
"I would like to see Casey reducing the rates of peoples homes to make it far more affordable, as it stands at the moment we are paying far greater rates than other areas. ",Cheaper rates,Cheaper-Rates,,,,,clyde north,,edrington,29-38,Male
One that is easy to drive around,Less housing,Safe,Quiet,Australian,,,narre warren,3805,springfield,39-48,Male
Have you ever been to Copenhagen ?,Sack the council,Post,Apocalyptic,Wasteland,,,hampton park,3976,river gum,49-58,Prefer not to say
"Still with lots of parkland and open space, but much more improved roads and public transport. At the moment the roads are mostly tge same as when it was all farmland.",Improve Hallam Rd all the way (incl Sth Gippy intersection ),Getting-on-with-it,,,,,hallam,3803,river gum,29-38,Female
"A quieter, more peaceful community where people interact much more than they do now.  ",To reduce the number of motor vehicles on our roads. ,Peace,harmony,interaction,,,eden rise,,visitor,68+,Male
A modern city with plenty of recreational areas. ,Connect bike paths and keep paths and roads separate.  If you ride or walk in the park you don't want to hear cars and vehicles driving past.,Modern,clean,open,,,narre warren,3805,springfield,49-58,Female
"Vibrant, well structured and thought out infrastructure for the future, not just for the moment. Wide streets, many laned main roads, safe neighbourhoods and plenty of facilities for ALL ages, not just the younger generation.",Open and transparent decision making,Vibrant,functional,safe,,,clyde north,,edrington,68+,Female
Self sufficient city,The traffic on the major roads in and out of Cranbourne,Clean,health,living,,,cranbourne ,3977,balla balla,49-58,Male
A community that helps each other. ,The roads.,Community,,,,,berwick,3806,edrington,29-38,Female
"I can imagine a leafy, green municipality with landscaped parks, fountains or other running water features, and active people out enjoying the fresh air and sunshine. Perhaps a water park!","I would make our roads safer and eradicate hooning, making our residential streets more peaceful to live in and allowing the children to play outside without safety concerns regarding dangerous traffic.",Clean,leafy,kind,,,hampton park,3976,river gum,29-38,Female
"Focused on young people, providing more activities to keep them occupied and out of trouble. More skate parks and BMX facilities. More programs for people to take part in these sports as a group, building a sense of community. ",Build a more connected and welcoming community for young people.,Youth,Leadership,Empowerment,,,narre warren,3805,springfield,19-28,Male
